Index,R,G,B
0,0,0,0
1,3,0,0
2,22,0,0
3,27,0,0
4,31,0,0
5,35,0,0
6,40,0,0
7,44,0,0
8,48,0,0
9,52,0,0
10,56,0,0
11,58,0,0
12,63,0,0
13,69,0,0
14,76,1,1
15,87,1,2
16,24,8,0
17,40,8,0
18,54,8,1
19,63,9,2
20,73,9,1
21,75,11,9
22,87,8,3
23,88,11,12
24,49,31,2
25,74,31,9
26,89,30,9
27,91,34,24
28,78,56,18
29,80,79,25
30,85,84,43
31,85,109,51
32,108,8,2
33,111,13,15
34,127,9,8
35,128,14,18
36,140,10,12
37,141,15,13
38,142,14,17
39,142,18,24
40,111,29,14
41,110,45,15
42,110,37,29
43,107,52,33
44,137,27,19
45,137,46,16
46,141,25,31
47,140,38,32
48,105,65,28
49,106,67,40
50,132,65,24
51,125,67,39
52,104,83,38
53,104,100,41
54,124,83,38
55,124,99,41
56,109,82,51
57,109,99,53
58,128,84,54
59,126,99,56
60,105,110,53
61,121,110,54
62,109,112,64
63,129,111,66
64,89,128,48
65,92,132,57
66,107,127,52
67,108,128,59
68,91,132,67
69,103,131,68
70,112,124,66
71,111,135,69
72,97,147,60
73,110,147,62
74,99,149,73
75,111,149,73
76,104,160,66
77,113,162,67
78,108,159,76
79,108,169,77
80,128,126,54
81,125,126,66
82,122,149,61
83,137,150,61
84,120,134,73
85,134,134,74
86,120,153,75
87,137,153,74
88,121,164,70
89,120,165,77
90,139,164,68
91,139,165,75
92,124,177,69
93,124,176,78
94,143,173,75
95,140,187,75
96,109,145,86
97,109,157,85
98,105,166,85
99,114,166,85
100,131,144,86
101,129,160,86
102,122,168,85
103,135,168,86
104,108,176,88
105,117,177,87
106,124,174,86
107,125,179,87
108,133,176,87
109,145,176,85
110,136,183,87
111,142,191,85
112,112,159,96
113,134,161,96
114,118,178,96
115,137,179,96
116,128,156,109
117,130,172,110
118,130,180,102
119,130,179,116
120,118,188,101
121,129,188,103
122,141,185,103
123,142,191,104
124,128,190,118
125,142,192,118
126,137,192,133
127,141,198,154
128,151,18,16
129,160,21,17
130,153,25,29
131,166,26,26
132,163,39,17
133,165,37,28
134,160,35,32
135,171,38,32
136,183,29,26
137,183,31,32
138,183,41,27
139,182,41,32
140,189,31,31
141,194,33,30
142,190,43,31
143,198,45,30
144,158,31,36
145,162,41,38
146,172,37,37
147,173,44,38
148,183,38,35
149,183,45,35
150,183,40,38
151,184,46,39
152,190,35,36
153,195,36,37
154,190,43,37
155,195,43,37
156,191,47,36
157,191,47,40
158,198,47,36
159,199,47,40
160,166,53,26
161,184,52,32
162,193,52,31
163,193,52,36
164,174,53,42
165,188,52,41
166,194,53,38
167,194,52,43
168,200,52,30
169,201,53,34
170,198,54,36
171,204,55,36
172,197,53,39
173,203,54,39
174,201,53,42
175,202,54,46
176,160,69,28
177,184,67,30
178,174,70,45
179,188,69,47
180,203,63,36
181,206,63,42
182,208,66,46
183,209,71,56
184,164,97,38
185,165,107,59
186,203,85,55
187,199,109,56
188,154,157,65
189,180,155,60
190,160,179,70
191,191,187,64
192,177,115,87
193,168,146,95
194,211,104,87
195,211,137,112
196,152,169,79
197,176,167,81
198,164,166,112
199,205,165,132
200,153,178,78
201,158,180,78
202,162,182,78
203,172,183,77
204,154,180,86
205,168,182,86
206,172,181,104
207,186,180,142
208,160,190,81
209,168,189,80
210,171,190,76
211,171,191,82
212,175,191,78
213,176,196,80
214,182,194,80
215,194,195,79
216,156,192,94
217,169,192,93
218,178,194,93
219,191,194,93
220,158,192,113
221,186,193,114
222,163,194,138
223,201,192,159
224,157,203,88
225,167,204,91
226,180,202,82
227,180,203,88
228,163,205,99
229,172,207,100
230,164,204,116
231,176,206,116
232,185,204,81
233,185,205,87
234,196,202,80
235,195,203,87
236,187,203,95
237,195,205,95
238,191,203,106
239,190,203,120
240,163,204,138
241,177,207,139
242,163,207,160
243,178,213,159
244,185,209,145
245,193,206,142
246,185,212,163
247,193,211,164
248,170,213,178
249,189,216,178
250,177,217,194
251,190,220,197
252,200,210,184
253,196,221,187
254,196,221,205
255,208,216,207
